#raio,Massa
224.71449899999976,0.00019784735716951794
226.22264999999976,0.00020184971171957784
227.73080099999976,0.00020590552137255967
229.23895199999976,0.00021001513537561667
230.74710299999975,0.00021417890283488
232.25525399999975,0.00021839717271455466
233.76340499999975,0.00022267029383601615
235.27155599999975,0.00022699861487690773
236.77970699999975,0.00023138248437023815
238.28785799999974,0.00023582225070348017
239.79600899999974,0.00024031826211766953
241.30415999999974,0.0002448708667065045
242.81231099999974,0.0002494804124154462
244.32046199999974,0.0002541472470408195
245.82861299999973,0.0002588717182289142
247.33676399999973,0.0002636541734750875
248.84491499999973,0.0002684949601228664
250.35306599999973,0.0002733944253630512
251.86121699999973,0.00027835291623281937
253.36936799999972,0.00028337077961483023
254.87751899999972,0.0002884483622363301
256.3856699999997,0.0002935860106682582
